article,source,label,label_idx
"New York City murder suspect arrested in Johnstown.

On July 24, 2025, at approximately 6:45 PM, deputies from the Fulton County Sheriff’s Office conducted a routine traffic stop in Johnstown, New York. During the stop, they arrested 21-year-old Jamel Williams, who was wanted for second-degree murder in connection with a fatal shooting in Midtown Manhattan on June 4, 2025.

Williams is accused of shooting 30-year-old Marco Reyes, a resident of the Bronx, outside a 7-Eleven at 345 West 42nd Street around 11:45 PM. The incident reportedly began when Reyes was urinating in public, which led to a verbal dispute. Williams allegedly pulled out a firearm and shot Reyes in the head. Reyes was transported to Bellevue Hospital, where he later died.

Williams fled the scene and traveled through Grand Central Terminal to upstate New York. Authorities believe he stayed with his girlfriend in the area for nearly seven weeks.

Following his arrest, Williams was extradited to Manhattan and appeared in court on July 25. He was ordered to be held without bail due to flight risk concerns. Surveillance footage had captured Williams at the scene of the crime, and the investigation involved multiple agencies including the NYPD, U.S. Marshals, and the New York Attorney General’s Office.

He has been formally charged with second-degree murder and multiple counts of criminal possession of a weapon.
",provide me a news article named: New York City murder suspect arrested in Johnstown,fake,1
"New York City murder suspect arrested in Johnstown.

JOHNSTOWN, N.Y. (NEWS10) — The Fulton County Sheriff’s Office (FCSO) arrested a man wanted by the New York City Police Department on Thursday night. Jamel Williams, 22, had an active warrant out for his arrest for second-degree murder.

Deputies took Williams into custody without incident in Johnstown on July 24 around 6:45 p.m. during a routine traffic stop. Law enforcement identified Williams as the main suspect of a June homicide in New York, where he’s expected to be returned to for further proceedings.

The New York Attorney General’s Office, the U.S. Marshals Service, and the Johnstown and Gloversville Police Departments assisted the FCSO with the investigation.",https://www.news10.com/news/fulton-county/new-york-city-murder-suspect-arrested-in-johnstown/,real,0
"Pittsburgh area wasn't woman's 1st foray in being an 'impostor nurse,' authorities say.

It appeared not many authorities in Pennsylvania knew Shannon Nicole Womack was bouncing from nursing home job to nursing home job over the past year, despite allegedly lacking the professional license to do so.

In fact, it wasn’t until an April traffic stop that Womack, 39, of Pittsburgh was found to have at least 10 aliases and seven Social Security numbers associated to her, as she secured nursing positions through staffing agencies, submitting fraudulently signed documents and creating a false LLC to self-deploy herself to multiple jobs, police say.

But officials in Georgia had her number all along.

Georgia’s nursing board started receiving complaints about Womack, leading to her placement on the state’s “impostor list” in October 2022, said Robert Sinners, spokesman for Georgia’s secretary of state.

The Georgia board investigated allegations of unlicensed practice by Womack and discovered she is not licensed as a registered or practical nurse in that state and has not applied for licensure. The “impostor list,” posted publicly on the secretary of state’s website, monitors people claiming the title of “nurse” who lack those credentials, Sinners said.

Criteria that places someone on the “impostor list,” according to Sinners, include:

• Employment applications or resumes claiming to have a nursing license

• Email signatures with a nursing title (RN, LPN, APRN)

• Social media posts claiming to be a nurse

• Witness statements from employers, co-workers or patients who worked with the individual, believing they were a licensed nurse

• Job descriptions and employment records showing the individual was hired into a nursing role

“Once the board conducted their investigation, they realized (Womack) had impersonated other nurses as well,” Sinners said. “The AG issued a cease-and-desist order but could not locate her. One of our affiliates in (Pennsylvania) identified her and worked with law enforcement to bring her into custody.

“Bottom line: The nursing board took the complaints seriously (and) worked to hold her accountable. She fled and was brought to justice.”

Pennsylvania troopers say that, when they pulled Womack over, they found prescription medications prescribed to different people, medical documents and various pieces of medical equipment.

In Pennsylvania, Womack worked at nine nursing homes from October to April, authorities say, with her employment at each facility ending with her being placed on a “Do Not Retain” list for professional misconduct. Those facilities either declined to comment or couldn’t be reached for comment.",https://triblive.com/local/valley-news-dispatch/pittsburgh-area-wasnt-womans-first-foray-in-being-an-impostor-nurse-authorities-say/,real,0
"Pittsburgh area wasn't woman's 1st foray in being an 'impostor nurse,' authorities say.

Authorities in the Pittsburgh area have revealed that a woman arrested for posing as a nurse had previously attempted similar fraudulent activities in other locations. The 32-year-old woman, identified as Maria Thompson, was charged after she allegedly obtained a position at a local healthcare facility under false pretenses. Investigators uncovered that she had presented a fake nursing degree and forged credentials to secure the job.

Thompson's scheme, authorities say, involved manipulating hospital records and gaining access to patients under the guise of a licensed nurse. While no patients were harmed, the breach of trust in the healthcare system has left both staff and patients shaken.

Further investigation into her past revealed a pattern of similar fraudulent behavior in various states, with Thompson allegedly attempting to secure nursing jobs in at least three other locations in the past five years. Authorities have yet to uncover how Thompson obtained her fraudulent nursing qualifications, but they are working with other jurisdictions to determine the full extent of her deception.

This is not the first case of ""impostor nurses"" in the area, as similar incidents have been reported in recent years, prompting local law enforcement to strengthen checks and balances in healthcare hiring processes. Experts warn that individuals posing as medical professionals can undermine patient safety, and they encourage facilities to verify all professional credentials thoroughly.

Thompson is currently being held in custody as the investigation continues. Legal experts believe that she may face serious charges, including identity theft and criminal impersonation. Authorities are urging any other potential victims of her scheme to come forward with information.","""Pittsburgh area wasn't woman's 1st foray in being an 'impostor nurse,' authorities say""",fake,1
"Chilling by the lake.

City officials are still awaiting final attendance figures, but Elk RiverFest once again proved to be a popular destination for kids and families. However, the evening crowd that traditionally embraced the Sips on Main event did not follow the move to Orono Park.
Karen Wingard, the city’s special events coordinator, said overall it was a successful day and noted that attendance for the daytime portion appeared to be on par with last year.
“Our peak attendance was between 10 a.m. and noon, and I think many were coming out before it got too hot,” Wingard said. “The only area we would like to see grow would be the evening attendance at the concert. The venue was perfect, and the people who were there really enjoyed the view of the lake, the shade from the trees, and the concert. Hopefully, the word spreads and we see an increase in evening attendance next year.”
Elk River Mayor John Dietz said he thought the event went well overall—“except for the heat,” which reached 90 degrees with high humidity throughout much of the day.
“The early turnout was great,” Dietz said.
Brent O’Neil and Josh Mollan, with the city’s economic development department, are using Placer.ai technology to estimate attendance and track movement throughout the daylong festival.
Dietz said he has a few ideas that he plans to share with Wingard and her team as they meet with city departments and gather feedback over the next couple of weeks.
“What really makes the event great is that it’s a team approach,” Wingard said. “With that being said, we will take ideas from everyone to continue to make Elk RiverFest the best community event we have to offer.”
John Houlton, of First Bank Elk River—the event’s signature sponsor—said the bank was very happy with the overall event.
“Kudos to all the city staff for the planning and execution,” he said. “Elk RiverFest is good for the community and good for the bank. Thanks to all.”
Houlton did acknowledge the evening attendance was disappointing. He said some feedback centered around the change in venue, with comments like “the park just doesn’t have the vibe of the downtown event.”
First Bank Elk River handed out 750 bottles of cold water, which were kept chilled in a plastic swimming pool filled with ice.
“As for next year, I think we keep building on this year’s success,” Houlton said. “The daytime format is perfect. As for the evening event, I think a complete re-think is in order. It may be that Elk RiverFest is only a 10 a.m. to 4 p.m. event and not an evening event at all.”
He added that Sips on Main, when held downtown, felt like a distinctly separate event with its own audience.
“I think it’s going to be hard to attract an evening audience to the park,” Houlton said. “Elk RiverFest is perceived as a family event, and maybe we should just accept that.”
During a recent budget work session, the discussion turned to ideas for attracting more people during the mid-afternoon through evening hours. Several ideas were suggested but no decisions were made.
“All the feedback we got was largely positive,” said Jeff Shelby, the city’s parks and recreation manager. “I think a lot of people understand we can’t control the weather.”
",https://www.hometownsource.com/elk_river_star_news/chilling-by-the-lake/article_6e4bc84e-4530-4cfd-9a5b-04e9dd9f02ca.html ,real,0
"Chilling by the lake.

Chilling by the Lake
August 6, 2025 | Willow Creek Gazette

Willow Creek, WA — A gentle breeze, the scent of pine, and the soft lapping of water set the perfect backdrop for a relaxing afternoon this past Sunday as locals gathered at Maple Shore for an impromptu summer hangout.

Dozens of families and college students took advantage of the cooler weather to enjoy snacks, paddleboarding, and long conversations by the lake. Children built castles out of driftwood, while older residents relaxed in lawn chairs, many with fishing poles in hand or paperback novels in their laps.

“This is what summer’s supposed to feel like,” said longtime resident Paula Nguyen, watching her grandkids chase dragonflies. “Just peace, quiet, and a little sun.”

The pop-up event wasn’t organized officially, but word spread quickly through a neighborhood group chat. A few brought speakers for music, while others brought extra sandwiches to share.

As the sun dipped low and the sky turned rose-gold, many lingered, reluctant to leave the calm behind. “We should do this more often,” one teen was overheard saying.

With fall just around the corner, days like this are a sweet reminder to slow down—and maybe chill by the lake.

— Reporting by Julia Reed, Staff Writer","Please generate a short news article for a small local newspaper with the title, ""Chilling by the lake"". ",fake,1
"8 Bangladesh nationals held in Bongaigaon; paid Rs 8,500 each to enter via Meghalaya
.

Bongaigaon, July 22: Eight Bangladesh nationals were detained by the Government Railway Police (GRP) at New Bongaigaon Railway Station in Assam for illegally entering the country, on Tuesday. The individuals—identified as Babu Sheikh, Ashfaqul Haque, Alamin Ali, Mamun Sheikh, Mohammad Ali, Ruhul Amin, Musharraf Ali, and Asharul Haque—are all reportedly from Jamalpur district in Bangladesh. According to the detainees, they had entered India through Meghalaya with the intention of travelling to Chennai for work. “We are simple people. We were here to go to Chennai for purposes of work,” one of them told the press at the station. They admitted to paying approximately Rs 8,500 each to cross the border with the help of touts. “Who will get us here for free?” another detainee remarked, highlighting the role of organised networks facilitating illegal crossings. A file image of the New Bongaigaon Railway Sttaion where the 8 Bangladesh nationals were detained by the police (AT Photo) Police sources confirmed the detentions but refrained from providing further details. “We have detained some Bangladesh nationals at the New Bongaigaon Railway Station today. However, we cannot divulge much right now. We will address the matter in a press briefing later,” a senior GRP official told The Assam Tribune. The incident comes amid the government’s emphasis on its “push-back” policy for illegal immigrants from Bangladesh. On July 21, during a visit to Sipajhar, Chief Minister Himanta Biswa Sarma reiterated that his administration had succeeded in pushing back 2,000 to 3,000 infiltrators. “For the first time in Assam, we have managed to push back 2–3 thousand infiltrators across the border,” the Chief Minister had said. However, the government’s approach has faced criticism from Opposition leaders and minority rights organisations, who have labelled the policy “inhumane” and in violation of human rights norms. Further investigation into Tuesday’s detentions is expected, with officials likely to brief the press in the coming days. Assam  The Assam Tribune Recommended Stories 8 Bangladesh nationals held in Bongaigaon; paid Rs 8,500 each to enter... Draft electoral rolls out for BTC polls; 81 new villages added post... No cure, no exit: Why Japanese Encephalitis haunts Assam every monsoon Next Story ASSAM Draft electoral rolls out for BTC polls; 81 new villages added post delimitation A total of 3,277 polling stations will be set up across the region for 26,69,396 voters By The Assam Tribune - 22 July 2025 7:43 AM A file image of voters in queue to cast their vote somewhere in Assam. (AT Photo) The Assam Tribune is now on Whatsapp. Click here to join our channel and stay updated with the latest headlines. Kokrajhar, July 22: As the sixth schedule-administered BTR region braces for the upcoming polls in September, the Assam Election Commission released the Draft Photo Electoral Rolls for all 40 constituencies of the Bodoland Territorial Council (BTC) recently. The updated rolls incorporate the inclusion of 81 new villages into the Bodoland Territorial Region (BTR), following a recent delimitation exercise as per state government’s notification (No. E-344949/1364) dated June 25. According to official data, a total of 3,277 polling stations will be set up across the region. While the complete gender-wise elector count is being finalised, 17 electors have been listed under the “Other” category in the draft released. The Draft Electoral Rolls (without photographs) are now available for public scrutiny at several locations, including: Offices of the Circle Officers and Block Development Officers Municipalities, Town Committees, Sub-Registry Offices, and Police Stations Tea Garden offices, Gaon Panchayats, and Village Council Development Committee offices within constituencies Online through the OERMS portal and the websites of the respective district administrations Eligible voters can verify their enrolment by using their EPIC number or by downloading the draft list from the online portals. Claims and objections, if any, can be submitted until August 5 either online or through the offices of the concerned Returning Officers (ROs) and Assistant Returning Officers (AROs). The necessary formats and guidance are available both offline and online. Meanwhile, political activity has reached a fever pitch in the Sixth Schedule region. All major parties have begun ground-level preparations to wrest control of the BTC. Significantly, the ruling alliance of the United People’s Party Liberal (UPPL) and the BJP will not contest jointly this time. The BJP has announced it will go solo in all 40 seats, marking a departure from the 2020 alliance. Another NDA ally, the Asom Gana Parishad (AGP), is also preparing to contest independently, aiming to field candidates in 10 constituencies. With multiple contenders vying for dominance, and new voters from recently added villages set to impact the electoral landscape, the BTC election promises to be a closely watched and potentially game-changing political event this September.

",https://assamtribune.com/assam/8-bangladesh-nationals-held-in-bongaigaon-paid-rs-8500-each-to-enter-via-meghalaya-1585754,real,0
"8 Bangladesh nationals held in Bongaigaon; paid Rs 8,500 each to enter via Meghalaya
.

Here’s a summary of the reported incident:

---

## 📰 Incident Overview

* **Who**: Eight Bangladeshi nationals—identified by NorthEast Now as Babu Sheikh, Ashfaqul Haque, Alamin Ali, Mamun Sheikh, Mohammad Ali, Ruhul Amin, Musharraf Ali, and Asharul Haque—were detained by the Government Railway Police (GRP) at New Bongaigaon Railway Station in Assam ([NorthEast Now][1]).
* **What**: They allegedly entered India illegally via the Meghalaya border after paying touts approximately Rs 8,500 each ([NorthEast Now][1]).
* **Intended Destination**: The detainees stated they were heading to Chennai seeking employment ([Highland Post][2]).

---

## 🔍 Context & Investigation

* Their presence at the station was flagged after a video surfaced showing about 150 Bangladesh-origin individuals near the railway area on July 21 ([NorthEast Now][1]).
* Distinct accents in their Bengali speech drew attention and triggered further scrutiny by police ([NorthEast Now][1]).
* Officials confirmed the matter is currently under preliminary investigation ([NorthEast Now][1]).

---

## ⚠️ Regional Border Concerns

This arrest comes amid intensified monitoring of illegal immigration across Northeast India. Assam’s Chief Minister recently mentioned that state authorities have already turned back between 2,000–3,000 individuals attempting unauthorized entry this year alone ([NorthEast Now][1]).

---

### ✅ In Summary

Eight Bangladeshi nationals were detained in Bongaigaon after allegedly paying ₹8,500 each to enter India illegally via Meghalaya. Their aim was to reach Chennai for work. The group was noticed at New Bongaigaon station following distribution of a video, and subsequent investigation is ongoing.

---

Would you like me to track updates on this case or provide broader insights into border security in the region?

* [NorthEast Now](https://nenow.in/north-east-news/assam/eight-bangladeshi-nationals-detained-in-assam-for-alleged-illegal-entry.html?utm_source=chatgpt.com)
* [Highland Post](https://highlandpost.com/8-bangladeshi-infiltrators-held-in-assam/?utm_source=chatgpt.com)
* [X (formerly Twitter)](https://x.com/assamtribuneoff/status/1947641820441096543?utm_source=chatgpt.com)

[1]: https://nenow.in/north-east-news/assam/eight-bangladeshi-nationals-detained-in-assam-for-alleged-illegal-entry.html?utm_source=chatgpt.com ""Eight Bangladeshi nationals detained in Assam for alleged illegal ...""
[2]: https://highlandpost.com/8-bangladeshi-infiltrators-held-in-assam/?utm_source=chatgpt.com ""8 Bangladeshi infiltrators held in Assam | Highland Post""
","can you tell me about this newspaper article: 8 Bangladesh nationals held in Bongaigaon; paid Rs 8,500 each to enter via Meghalaya ",fake,1
"Provincial government seeking public input on MZO for seniors facility in Stouffville.

Another minister’s zoning order (MZO) could be on its way in Stouffville.

The Ministry of Municipal Affairs and Housing is accepting public input for an MZO request on 188 Sandiford Dr. in Stouffville that would lift certain restrictions on units in a seniors care facility. Specifically, the proposed MZO would permit in-unit kitchens and laundry by lifting the town’s bylaw limiting power supply to 219 volts.

If approved, the MZO would allow up to 212 units within the already permitted six-storey seniors care facility. The units could be anything from independent living to assisted care and include common kitchens, dining areas and 153 parking spaces.

The request is being made to expedite approvals for this proposal that would provide additional options for seniors housing. Otherwise, an Official Plan Amendment would be needed to allow for independent living at the site.

The MZO request from the Sheriff Corporation is being considered by the province after an endorsement from Stouffville Mayor Iain Lovatt. Lovatt provided a similar endorsement to an MZO from Mon Sheong Foundation last year.

Stouffville council approved a 212-unit seniors facility at the site in 2023. The site is located at the northwest corner of Hoover Park Drive and Sandiford Drive. Strong-mayor powers allow mayors to endorse MZO requests without a council resolution needed.

The ministry is accepting feedback on the MZO request on its website until Aug. 9.",https://www.yorkregion.com/news/provincial-government-seeking-public-input-on-mzo-for-seniors-facility-in-stouffville/article_7e9fb278-a2c6-56e8-a12e-b9bc23797bfa.html,real,0
"Provincial government seeking public input on MZO for seniors facility in Stouffville.

The Ontario Ministry of Municipal Affairs and Housing has opened a 30‑day public comment period—running from July 10 to Aug. 9—for a proposed Minister’s Zoning Order (MZO) that would affect 188 Sandiford Drive, the site of a planned seniors’ living complex in Whitchurch‑Stouffville. Residents can weigh in through the Environmental Registry of Ontario (ERO) under file number 025‑0717 until 11:59 p.m. on the closing date. ([Environmental Registry of Ontario][1])

The request comes from the Sheriff Corporation (part of the Gottardo Group of Companies), whose six‑storey, two‑building project with 212 units was previously approved by Town Council in 2023. The MZO would lift local restrictions that currently cap electrical service at 219 volts, a limit that has prevented individual suites from including full kitchens and laundry—effectively blocking them from being classified as complete dwelling units. ([Environmental Registry of Ontario][1], [Stouffville Bullet Point News][2])

Today, the lands are zoned “Employment Business Park – Exception Eighteen (EBP(18)),” which already allows a seniors’ care facility but bars fully independent apartments. By permitting in‑suite cooking and laundry, the order would reframe many of the units as independent living spaces without forcing the proponent to seek an Official Plan Amendment. ([Environmental Registry of Ontario][1], [Stouffville Bullet Point News][2])

According to provincial documents and a Town staff report referenced in the ERO notice, the MZO would not raise the approved unit count or building heights. Council’s 2023 by-law amendment already permits two six‑storey buildings—just under 20 metres tall—linked by a single-storey amenity wing. ([Stouffville Bullet Point News][2])

Municipal planning staff told Bullet Point News that any shift from “institutional” to “independent residential” could change parking minimums, though the province’s posting does not set parking standards. Those details could be revisited at the site plan or building permit stage, depending on how the Minister ultimately words the order. ([Stouffville Bullet Point News][2])

This is the second high‑profile seniors‑housing MZO request on Sandiford Drive in less than a year. In January, the Mon Sheong Foundation sought provincial permission to boost heights to 70 metres and add up to 900 apartments on neighbouring lands—a move also endorsed by Mayor Iain Lovatt under the Strong Mayor Powers framework. ([Stouffville Bullet Point News][3])

An MZO, issued under clause 47(1)(a) of the Planning Act, lets the Minister set land‑use rules that override municipal zoning where the two conflict. While the Environmental Bill of Rights doesn’t require public posting for MZOs, the ministry says it’s soliciting feedback “to help ensure decisions are made in a transparent manner.” ([Environmental Registry of Ontario][1])

### How to have your say

* Reference **ERO 025‑0717** when submitting comments.
* File online through the ERO portal or email **[mmahzoningorders@ontario.ca](mailto:mmahzoningorders@ontario.ca)**.
* Mail-in submissions can also be sent to the Ministry’s Municipal Services Office – Central Ontario at 777 Bay St., 12th floor, Toronto, M7A 2J3.
* Deadline: **11:59 p.m., Friday, Aug. 9, 2025**. ([Environmental Registry of Ontario][1])

### What happens next

Once the comment window closes, ministry staff will brief the Minister on any environmental, financial or planning implications flagged by residents, stakeholders or the Town. The Minister can approve, modify or decline the order. If approved, Gottardo could proceed with independent living suites more quickly, while any secondary zoning nuances—like parking ratios—would likely be ironed out during subsequent permits or site plan tweaks. ([Environmental Registry of Ontario][1], [Stouffville Bullet Point News][2])

For Stouffville residents, the debate goes beyond one project. The rapid use of MZOs—controversial across Ontario for bypassing traditional municipal processes—continues to test how the province balances speedier housing approvals with local oversight. ([Stouffville Bullet Point News][2], [Stouffville Bullet Point News][3])

---

*Have a tip or perspective on the MZO? Reach me at the newsroom—local voices will shape our follow‑up coverage.*

[1]: https://ero.ontario.ca/notice/025-0717 ""Request for a Minister’s Zoning Order for a senior’s care facility in the Town of Whitchurch-Stouffville | Environmental Registry of Ontario""
[2]: https://stouffville.bulletpointnews.ca/local-news/gottardo-mzo/ ""Province Seeks Feedback on Proposed MZO for Sandiford Seniors Complex | Stouffville | Bullet Point News""
[3]: https://stouffville.bulletpointnews.ca/local-news/mon-sheong-mzo/ ""Mon Sheong MZO Request Seeks Upzoning, Greater Density for Final Development Phases | Stouffville | Bullet Point News""
","You are a professional journalist based in Stouffville, Ontario. Write me an article with the following title: ""Provincial government seeking public input on MZO for seniors facility in Stouffville""",fake,1
