2025-09-01 21:54:01,899 INFO    MainThread:404539 [wandb_setup.py:_flush():81] Current SDK version is 0.21.3
2025-09-01 21:54:01,900 INFO    MainThread:404539 [wandb_setup.py:_flush():81] Configure stats pid to 404539
2025-09-01 21:54:01,900 INFO    MainThread:404539 [wandb_setup.py:_flush():81] Loading settings from /zfsauton2/home/shrinivr/.config/wandb/settings
2025-09-01 21:54:01,900 INFO    MainThread:404539 [wandb_setup.py:_flush():81] Loading settings from /zfsauton2/home/shrinivr/10-623/hw0/handout/wandb/settings
2025-09-01 21:54:01,900 INFO    MainThread:404539 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-09-01 21:54:01,900 INFO    MainThread:404539 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /zfsauton2/home/shrinivr/10-623/hw0/handout/wandb/run-20250901_215401-ia686sk7/logs/debug.log
2025-09-01 21:54:01,900 INFO    MainThread:404539 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /zfsauton2/home/shrinivr/10-623/hw0/handout/wandb/run-20250901_215401-ia686sk7/logs/debug-internal.log
2025-09-01 21:54:01,900 INFO    MainThread:404539 [wandb_init.py:init():813] calling init triggers
2025-09-01 21:54:01,900 INFO    MainThread:404539 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'model': 'simple', 'batch_size': 8, 'learning_rate': 0.001, 'n_epochs': 1, 'grayscale': False, 'use_wandb': True, '_wandb': {'code_path': 'code/hw0/handout/img_classifier.py'}}
2025-09-01 21:54:01,900 INFO    MainThread:404539 [wandb_init.py:init():854] starting backend
2025-09-01 21:54:02,108 INFO    MainThread:404539 [wandb_init.py:init():857] sending inform_init request
2025-09-01 21:54:02,115 INFO    MainThread:404539 [wandb_init.py:init():865] backend started and connected
2025-09-01 21:54:02,116 INFO    MainThread:404539 [wandb_init.py:init():936] updated telemetry
2025-09-01 21:54:02,125 INFO    MainThread:404539 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2025-09-01 21:54:02,586 INFO    MainThread:404539 [wandb_init.py:init():1011] starting run threads in backend
2025-09-01 21:54:02,641 INFO    MainThread:404539 [wandb_run.py:_console_start():2494] atexit reg
2025-09-01 21:54:02,641 INFO    MainThread:404539 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-09-01 21:54:02,641 INFO    MainThread:404539 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-09-01 21:54:02,641 INFO    MainThread:404539 [wandb_run.py:_redirect():2434] Redirects installed.
2025-09-01 21:54:02,644 INFO    MainThread:404539 [wandb_init.py:init():1057] run started, returning control to user process
2025-09-01 21:54:35,902 INFO    wandb-AsyncioManager-main:404539 [service_client.py:_forward_responses():84] Reached EOF.
2025-09-01 21:54:35,903 INFO    wandb-AsyncioManager-main:404539 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
