Padding and truncation will be applied.
Shape of X [B, N]: torch.Size([1, 1024])
Shape of y: torch.Size([1]) torch.int64
Sample X: tensor([[2, 3, 4,  ..., 1, 1, 1]])
Sample y: tensor([1])
| epoch   1 |     5/  350 batches | accuracy    0.167
| epoch   1 |    10/  350 batches | accuracy    0.400
| epoch   1 |    15/  350 batches | accuracy    0.200
| epoch   1 |    20/  350 batches | accuracy    0.200
| epoch   1 |    25/  350 batches | accuracy    0.400
| epoch   1 |    30/  350 batches | accuracy    0.200
| epoch   1 |    35/  350 batches | accuracy    0.000
| epoch   1 |    40/  350 batches | accuracy    0.400
| epoch   1 |    45/  350 batches | accuracy    0.200
| epoch   1 |    50/  350 batches | accuracy    0.200
| epoch   1 |    55/  350 batches | accuracy    0.400
| epoch   1 |    60/  350 batches | accuracy    0.400
| epoch   1 |    65/  350 batches | accuracy    0.600
| epoch   1 |    70/  350 batches | accuracy    0.600
| epoch   1 |    75/  350 batches | accuracy    0.400
| epoch   1 |    80/  350 batches | accuracy    0.600
| epoch   1 |    85/  350 batches | accuracy    0.600
| epoch   1 |    90/  350 batches | accuracy    0.800
| epoch   1 |    95/  350 batches | accuracy    0.400
| epoch   1 |   100/  350 batches | accuracy    0.600
| epoch   1 |   105/  350 batches | accuracy    0.400
| epoch   1 |   110/  350 batches | accuracy    0.400
| epoch   1 |   115/  350 batches | accuracy    0.200
| epoch   1 |   120/  350 batches | accuracy    0.200
| epoch   1 |   125/  350 batches | accuracy    0.000
| epoch   1 |   130/  350 batches | accuracy    0.400
| epoch   1 |   135/  350 batches | accuracy    0.800
| epoch   1 |   140/  350 batches | accuracy    0.400
| epoch   1 |   145/  350 batches | accuracy    0.200
| epoch   1 |   150/  350 batches | accuracy    0.400
| epoch   1 |   155/  350 batches | accuracy    0.200
| epoch   1 |   160/  350 batches | accuracy    0.200
| epoch   1 |   165/  350 batches | accuracy    0.400
| epoch   1 |   170/  350 batches | accuracy    0.800
| epoch   1 |   175/  350 batches | accuracy    0.400
| epoch   1 |   180/  350 batches | accuracy    0.400
| epoch   1 |   185/  350 batches | accuracy    0.600
| epoch   1 |   190/  350 batches | accuracy    0.600
| epoch   1 |   195/  350 batches | accuracy    0.400
| epoch   1 |   200/  350 batches | accuracy    0.200
| epoch   1 |   205/  350 batches | accuracy    0.400
| epoch   1 |   210/  350 batches | accuracy    0.400
| epoch   1 |   215/  350 batches | accuracy    0.200
| epoch   1 |   220/  350 batches | accuracy    0.000
| epoch   1 |   225/  350 batches | accuracy    0.000
| epoch   1 |   230/  350 batches | accuracy    0.400
| epoch   1 |   235/  350 batches | accuracy    0.400
| epoch   1 |   240/  350 batches | accuracy    0.600
| epoch   1 |   245/  350 batches | accuracy    0.400
| epoch   1 |   250/  350 batches | accuracy    0.200
| epoch   1 |   255/  350 batches | accuracy    0.400
| epoch   1 |   260/  350 batches | accuracy    0.600
| epoch   1 |   265/  350 batches | accuracy    0.800
| epoch   1 |   270/  350 batches | accuracy    0.600
| epoch   1 |   275/  350 batches | accuracy    0.400
| epoch   1 |   280/  350 batches | accuracy    0.800
| epoch   1 |   285/  350 batches | accuracy    0.600
| epoch   1 |   290/  350 batches | accuracy    0.400
| epoch   1 |   295/  350 batches | accuracy    0.400
| epoch   1 |   300/  350 batches | accuracy    0.600
| epoch   1 |   305/  350 batches | accuracy    0.400
| epoch   1 |   310/  350 batches | accuracy    0.400
| epoch   1 |   315/  350 batches | accuracy    0.400
| epoch   1 |   320/  350 batches | accuracy    0.600
| epoch   1 |   325/  350 batches | accuracy    0.400
| epoch   1 |   330/  350 batches | accuracy    0.600
| epoch   1 |   335/  350 batches | accuracy    0.200
| epoch   1 |   340/  350 batches | accuracy    0.800
| epoch   1 |   345/  350 batches | accuracy    0.400
-----------------------------------------------------------
| end of epoch   1 | time:  0.86s | valid accuracy    0.539
-----------------------------------------------------------
| epoch   2 |     5/  350 batches | accuracy    0.667
| epoch   2 |    10/  350 batches | accuracy    0.600
| epoch   2 |    15/  350 batches | accuracy    0.600
| epoch   2 |    20/  350 batches | accuracy    0.600
| epoch   2 |    25/  350 batches | accuracy    0.400
| epoch   2 |    30/  350 batches | accuracy    0.200
| epoch   2 |    35/  350 batches | accuracy    0.600
| epoch   2 |    40/  350 batches | accuracy    0.400
| epoch   2 |    45/  350 batches | accuracy    0.600
| epoch   2 |    50/  350 batches | accuracy    0.400
| epoch   2 |    55/  350 batches | accuracy    0.600
| epoch   2 |    60/  350 batches | accuracy    0.400
| epoch   2 |    65/  350 batches | accuracy    0.600
| epoch   2 |    70/  350 batches | accuracy    0.600
| epoch   2 |    75/  350 batches | accuracy    0.400
| epoch   2 |    80/  350 batches | accuracy    0.600
| epoch   2 |    85/  350 batches | accuracy    0.600
| epoch   2 |    90/  350 batches | accuracy    0.800
| epoch   2 |    95/  350 batches | accuracy    0.400
| epoch   2 |   100/  350 batches | accuracy    0.400
| epoch   2 |   105/  350 batches | accuracy    0.400
| epoch   2 |   110/  350 batches | accuracy    0.600
| epoch   2 |   115/  350 batches | accuracy    0.400
| epoch   2 |   120/  350 batches | accuracy    0.400
| epoch   2 |   125/  350 batches | accuracy    0.400
| epoch   2 |   130/  350 batches | accuracy    0.400
| epoch   2 |   135/  350 batches | accuracy    0.800
| epoch   2 |   140/  350 batches | accuracy    0.400
| epoch   2 |   145/  350 batches | accuracy    0.600
| epoch   2 |   150/  350 batches | accuracy    0.600
| epoch   2 |   155/  350 batches | accuracy    0.200
| epoch   2 |   160/  350 batches | accuracy    0.400
| epoch   2 |   165/  350 batches | accuracy    0.600
| epoch   2 |   170/  350 batches | accuracy    0.800
| epoch   2 |   175/  350 batches | accuracy    0.400
| epoch   2 |   180/  350 batches | accuracy    0.400
| epoch   2 |   185/  350 batches | accuracy    0.600
| epoch   2 |   190/  350 batches | accuracy    0.600
| epoch   2 |   195/  350 batches | accuracy    0.400
| epoch   2 |   200/  350 batches | accuracy    0.200
| epoch   2 |   205/  350 batches | accuracy    0.600
| epoch   2 |   210/  350 batches | accuracy    0.600
| epoch   2 |   215/  350 batches | accuracy    0.200
| epoch   2 |   220/  350 batches | accuracy    0.200
| epoch   2 |   225/  350 batches | accuracy    0.600
| epoch   2 |   230/  350 batches | accuracy    0.600
| epoch   2 |   235/  350 batches | accuracy    0.400
| epoch   2 |   240/  350 batches | accuracy    0.800
| epoch   2 |   245/  350 batches | accuracy    0.400
| epoch   2 |   250/  350 batches | accuracy    0.400
| epoch   2 |   255/  350 batches | accuracy    0.400
| epoch   2 |   260/  350 batches | accuracy    0.400
| epoch   2 |   265/  350 batches | accuracy    0.400
| epoch   2 |   270/  350 batches | accuracy    0.600
| epoch   2 |   275/  350 batches | accuracy    0.400
| epoch   2 |   280/  350 batches | accuracy    0.600
| epoch   2 |   285/  350 batches | accuracy    0.400
| epoch   2 |   290/  350 batches | accuracy    0.600
| epoch   2 |   295/  350 batches | accuracy    0.400
| epoch   2 |   300/  350 batches | accuracy    0.600
| epoch   2 |   305/  350 batches | accuracy    0.400
| epoch   2 |   310/  350 batches | accuracy    0.400
| epoch   2 |   315/  350 batches | accuracy    0.600
| epoch   2 |   320/  350 batches | accuracy    0.600
| epoch   2 |   325/  350 batches | accuracy    0.400
| epoch   2 |   330/  350 batches | accuracy    0.600
| epoch   2 |   335/  350 batches | accuracy    0.400
| epoch   2 |   340/  350 batches | accuracy    0.600
| epoch   2 |   345/  350 batches | accuracy    0.400
-----------------------------------------------------------
| end of epoch   2 | time:  0.68s | valid accuracy    0.500
-----------------------------------------------------------
| epoch   3 |     5/  350 batches | accuracy    0.500
| epoch   3 |    10/  350 batches | accuracy    0.600
| epoch   3 |    15/  350 batches | accuracy    0.400
| epoch   3 |    20/  350 batches | accuracy    0.600
| epoch   3 |    25/  350 batches | accuracy    0.400
| epoch   3 |    30/  350 batches | accuracy    0.400
| epoch   3 |    35/  350 batches | accuracy    0.600
| epoch   3 |    40/  350 batches | accuracy    0.600
| epoch   3 |    45/  350 batches | accuracy    0.400
| epoch   3 |    50/  350 batches | accuracy    0.400
| epoch   3 |    55/  350 batches | accuracy    0.600
| epoch   3 |    60/  350 batches | accuracy    0.600
| epoch   3 |    65/  350 batches | accuracy    0.400
| epoch   3 |    70/  350 batches | accuracy    0.600
| epoch   3 |    75/  350 batches | accuracy    0.400
| epoch   3 |    80/  350 batches | accuracy    0.600
| epoch   3 |    85/  350 batches | accuracy    0.400
| epoch   3 |    90/  350 batches | accuracy    0.600
| epoch   3 |    95/  350 batches | accuracy    0.400
| epoch   3 |   100/  350 batches | accuracy    0.400
| epoch   3 |   105/  350 batches | accuracy    0.600
| epoch   3 |   110/  350 batches | accuracy    0.400
| epoch   3 |   115/  350 batches | accuracy    0.600
| epoch   3 |   120/  350 batches | accuracy    0.600
| epoch   3 |   125/  350 batches | accuracy    0.400
| epoch   3 |   130/  350 batches | accuracy    0.600
| epoch   3 |   135/  350 batches | accuracy    0.400
| epoch   3 |   140/  350 batches | accuracy    0.600
| epoch   3 |   145/  350 batches | accuracy    0.400
| epoch   3 |   150/  350 batches | accuracy    0.600
| epoch   3 |   155/  350 batches | accuracy    0.400
| epoch   3 |   160/  350 batches | accuracy    0.400
| epoch   3 |   165/  350 batches | accuracy    0.600
| epoch   3 |   170/  350 batches | accuracy    0.400
| epoch   3 |   175/  350 batches | accuracy    0.600
| epoch   3 |   180/  350 batches | accuracy    0.400
| epoch   3 |   185/  350 batches | accuracy    0.600
| epoch   3 |   190/  350 batches | accuracy    0.600
| epoch   3 |   195/  350 batches | accuracy    0.400
| epoch   3 |   200/  350 batches | accuracy    0.400
| epoch   3 |   205/  350 batches | accuracy    0.600
| epoch   3 |   210/  350 batches | accuracy    0.600
| epoch   3 |   215/  350 batches | accuracy    0.400
| epoch   3 |   220/  350 batches | accuracy    0.400
| epoch   3 |   225/  350 batches | accuracy    0.600
| epoch   3 |   230/  350 batches | accuracy    0.600
| epoch   3 |   235/  350 batches | accuracy    0.400
| epoch   3 |   240/  350 batches | accuracy    0.600
| epoch   3 |   245/  350 batches | accuracy    0.400
| epoch   3 |   250/  350 batches | accuracy    0.400
| epoch   3 |   255/  350 batches | accuracy    0.600
| epoch   3 |   260/  350 batches | accuracy    0.600
| epoch   3 |   265/  350 batches | accuracy    0.400
| epoch   3 |   270/  350 batches | accuracy    0.600
| epoch   3 |   275/  350 batches | accuracy    0.400
| epoch   3 |   280/  350 batches | accuracy    0.600
| epoch   3 |   285/  350 batches | accuracy    0.400
| epoch   3 |   290/  350 batches | accuracy    0.600
| epoch   3 |   295/  350 batches | accuracy    0.400
| epoch   3 |   300/  350 batches | accuracy    0.600
| epoch   3 |   305/  350 batches | accuracy    0.400
| epoch   3 |   310/  350 batches | accuracy    0.400
| epoch   3 |   315/  350 batches | accuracy    0.600
| epoch   3 |   320/  350 batches | accuracy    0.600
| epoch   3 |   325/  350 batches | accuracy    0.400
| epoch   3 |   330/  350 batches | accuracy    0.600
| epoch   3 |   335/  350 batches | accuracy    0.400
| epoch   3 |   340/  350 batches | accuracy    0.600
| epoch   3 |   345/  350 batches | accuracy    0.400
-----------------------------------------------------------
| end of epoch   3 | time:  0.68s | valid accuracy    0.500
-----------------------------------------------------------
| epoch   4 |     5/  350 batches | accuracy    0.500
| epoch   4 |    10/  350 batches | accuracy    0.600
| epoch   4 |    15/  350 batches | accuracy    0.400
| epoch   4 |    20/  350 batches | accuracy    0.600
| epoch   4 |    25/  350 batches | accuracy    0.400
| epoch   4 |    30/  350 batches | accuracy    0.400
| epoch   4 |    35/  350 batches | accuracy    0.600
| epoch   4 |    40/  350 batches | accuracy    0.600
| epoch   4 |    45/  350 batches | accuracy    0.400
| epoch   4 |    50/  350 batches | accuracy    0.400
| epoch   4 |    55/  350 batches | accuracy    0.600
| epoch   4 |    60/  350 batches | accuracy    0.600
| epoch   4 |    65/  350 batches | accuracy    0.400
| epoch   4 |    70/  350 batches | accuracy    0.600
| epoch   4 |    75/  350 batches | accuracy    0.400
| epoch   4 |    80/  350 batches | accuracy    0.600
| epoch   4 |    85/  350 batches | accuracy    0.400
| epoch   4 |    90/  350 batches | accuracy    0.600
| epoch   4 |    95/  350 batches | accuracy    0.400
| epoch   4 |   100/  350 batches | accuracy    0.400
| epoch   4 |   105/  350 batches | accuracy    0.600
| epoch   4 |   110/  350 batches | accuracy    0.400
| epoch   4 |   115/  350 batches | accuracy    0.600
| epoch   4 |   120/  350 batches | accuracy    0.600
| epoch   4 |   125/  350 batches | accuracy    0.400
